file_id,reference,nuance,genesys,microsoft
9140642108800000251_NajatS,[hésitation] moi j'ai un problème je voudrais je sais pas [hésitation] ça ça fonctionne pas [hésitation] je me suis connectée à la banque nationale là et pour payer transférer puis envoyer des sous là ça marche pas,moi j'ai un problème je voudrais je sais pas ça ça fonctionne pas je me suis connecté à la banque nationale là pour payer transférer puis envoyer des sous là ça marche pas,ou moi j'ai un problème je voudrais je sais pas ça ça fonctionne pas je me suis connecté à la banque nationale là et pour payer transférer puis envoyé c'est sous là ça marche pas,moi j'ai un problème je voudrais je sais pas ça ça fonctionne pas je me suis connectée à la banque nationale la et pour payer transférer puis on voyait des sous là ça marche pas
9140642703570000251_Charles,parce que je suis perdu mon carte,parce que je suis perdu mon carte,parce que je suis perdu mon car,parce que je suis perdu mon carte
9140642703570000251_rima,parce que je suis perdu mon carte,parce que je suis perdu mon carte,parce que je suis perdu mon carte,parce que je suis perdue mon carte?
9140647563020000251_Charles,ben c'est que moi je j'ai y a un dépôt dans mon compte ok de commercial de mille cinq cent dix et soixante cinq c'est marqué [hésitation] transmis émetteur un zéro quatre deux un j'aimerais savoir de où ça provient [agent dit: ok] parce que je suis pas je suis pas sûre que si c'est la mê la bonne personne qui m'a envoyé l'argent,ben c'est que moi j'ai y'a un dépôt dans mon compte ok de commercial de mille cinq cent dix et soixante cinq c'est marqué transmis émetteur dix mille quatre cent vingt et un j'aimerais savoir de où ça provient parce que je suis pas je suis pas sûre que si c'est la mê la bonne personne qui m'a envoyé l'argent,hi ben c'est que moi j'ai y a un dépôt dans mon compte au quai de commercial de mille cinq cent dix et soixante cinq c'est marqué transmis émetteur un zéro quatre deux un j'aimerais savoir de ou ça provient parce que je suis pas je suis pas sûr que si c'est la la bonne personne qui m'a envoyé l'argent,ben c'est que moi j'ai y a un dépôt dans mon compte ok de commercial de mille cinq cent dix et soixante cinq c'est marqué transmis et metteur dix mille quatre cent vingt et un j'aimerais savoir d'où ça provient parce que je suis pas je suis pas sûr que si c'est la la bonne personne qui m'a envoyé l'argent
9140647563020000251_NaimaF,ben c'est que moi je j'ai y a un dépôt dans mon compte ok de commercial de mille cinq cent dix et soixante cinq c'est marqué [hésitation] transmis émetteur un zéro quatre deux un j'aimerais savoir de où ça provient [agent dit: ok] parce que je suis pas je suis pas sûre que si c'est la mê la bonne personne qui m'a envoyé l'argent,ben c'est que moi je j'ai y'a un dépôt dans mon compte ok de commercial de mille soixante dix soixante cinq c'est marqué transmis émetteur dix mille quatre cent vingt et un j'aimerais savoir de où ça provient parce que je suis pas je suis pas sûre que si c'est la mê la bonne personne qui m'a envoyé l'argent,ben c'est que moi je j'ai y a un dépôt dans mon compte okay de commercial de mille cinq cent dix soixante cinq c'est marqué trente ni émetteur un zéro quatre deux un j'aimerais savoir de ou ça provient par que je suis pas je suis pas sûr que si c'est la main la bonne personne qui m'a envoyé l'argent,ben c'est que moi je j'ai il y a un dépôt dans mon compte que je commercial de mille cinq cent dix et soixante cinq c'est marqué transmis et metteur dix mille quatre cent vingt et un j'aimerais savoir de où ça provient parce que je suis pas je suis pas sûre que si c'est la mer la bonne personne qui m'a envoyé l'argent
9140647563020000251_NajatS,ben c'est que moi je j'ai y a un dépôt dans mon compte ok de commercial de mille cinq cent dix et soixante cinq c'est marqué [hésitation] transmis émetteur un zéro quatre deux un j'aimerais savoir de où ça provient [agent dit: ok] parce que je suis pas je suis pas sûre que si c'est la mê la bonne personne qui m'a envoyé l'argent,ben c'est que moi je j'ai y'a un dépôt dans mon compte ok de commercial de deux mille soixante dix sept soixante cinq c'est marqué transmis émetteur dix mille quatre cent vingt et un j'aimerais savoir de où ça provient parce que je suis pas je suis pas sûre que si c'est la mê la bonne personne qui m'a envoyé l'argent,ben c'est que moi je j'ai y a un dépôt dans mon compte okay de commercial de mille cinq cent dix et soixante cinq c'est marqué transmis émetteur à zéro quatre deux un j'aimerais savoir de ou ça provient parce que je suis pas je suis pas sûr que si c'est la met la bonne personne qui m'a envoyé l'argent,ben c'est que moi je j'ai y a un dépôt dans mon compte okay de commercial de mille cinq cent dix et soixante cinq c'est marqué transmis émetteur dix mille quatre cent vingt et un j'aimerais savoir de où ça provient parce que je suis pas je suis pas sûre que si c'est la même la bonne personne qui m'a envoyé l'argent
9140656450020000251_NajatS,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte j'ai j'ai pas demandé une carte de remplacement ni de changer ma carte et sur la lettre ils me disent que pour prévention de la fraude j'aimerais juste savoir si c'est une politique de mastercard de pouvoir envoyer une carte avant expiration,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte j'ai j'ai pas de monter une carte de remplacement ni de changer ma carte et sur la lettre ils me disent que pour prévention de la fraude j'aimerais juste savoir si c'est une politique de mastercard de pouvoir envoyer une carte avant expiration,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte j'ai j'ai pas demandé une carte de remplacement ni de changer ma carte et sur la lettre ils me disent que pour prévention de la fraude j'aimerais juste savoir si c'est une politique de mastercard de pour envoyer une carte avant expiration,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte j'ai pas demandé une carte de remplacement ni de changer ma carte et sur la lettre ils me disent que pour prévention de la fraude j'aimerais juste savoir si c'est une politique de mastercard de pouvoir envoyer une carte avant expiration?
9140656450020000251_Natalia2,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte j'ai j'ai pas demandé une carte de remplacement ni de changer ma carte et sur la lettre ils me disent que pour prévention de la fraude j'aimerais juste savoir si c'est une politique de mastercard de pouvoir envoyer une carte avant expiration,en fait actuellement j'ai reçu aujourd'hui nouvelle carte j'ai j'ai pas demandé une carte de remplacement ni de changer ma carte sur la lettre ils me disent que pour une prévention de la fraude j'aimerais juste savoir si tu politique de mastercard de pouvoir envoyer une carte avant l'expiration,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte je j'ai pas demandé une carte de remplacement ni de changer ma carte et sur la lettre me dise que pour une prévention de la fraude comme juste savoir si c'est une politique de mastercard de pouvoir envoyer une carte avant l'expiration,en fait actuellement j'ai reçu aujourd'hui une nouvelle carte j'ai pas demandé une carte de remplacement ni d'échanger ma carte et sur la lettre ils me disent que pour une prévention de la fraude j'aimerais juste savoir si c'est une politique de mastercard de pouvoir envoyer une carte avant l'expiration
9140656886170000251_Anne,[hésitation] oui bonjour [hésitation] en fait j'ai un dossier avec vous [mot] dans le transfert de prêt hypothécaire [hésitation] à vous à la banque nationale [agent dit oui] et je voulais parler dans le fond avec [hésitation] quelqu'un pour pour voir [hésitation] j'aimerais faire des des projets puis [hésitation] savoir si c'est possible de faire avec mon dossier,oui bonjour en fait j'ai un dossier avec vous mots dans le transfert de prêt hypothécaire à vous à la banque nationale je voulais parler dans le fond avec quelqu'un pour pour voir j'aimerais faire des des projets pis savoir si c'est possible de faire avec mon dossier, oui bonjour en fait j'ai un dossier avec vous oui un transfert de pré pot écart à vous à la banque nationale et je voulais parler dans le fond avec quelqu'un pour pour voir j'aimerais faire des des projets puis pour savoir si c'est possible de faire avec mon dossier,oui bonjour en fait j'ai un dossier avec vous mot dans le transfert de prêt hypothécaire à vous à la banque nationale et je voulais parler dans le fond avec qui? tiens pour pour voir j'aimerais faire des des projets puis savoir si c'est possible de faire avec mon dossier
9140656886170000251_Charles,[hésitation] oui bonjour [hésitation] en fait j'ai un dossier avec vous [mot] dans le transfert de prêt hypothécaire [hésitation] à vous à la banque nationale [agent dit oui] et je voulais parler dans le fond avec [hésitation] quelqu'un pour pour voir [hésitation] j'aimerais faire des des projets puis [hésitation] savoir si c'est possible de faire avec mon dossier,oui bonjour en fait j'ai un dossier avec vous dans le transfert de prêt hypothécaire à vous à la banque nationale et je voudrais parler dans le fond avec quelqu'un pour pour voir j'aimerais faire des des projets pis savoir si c'est possible de faire avec mon dossier, oui bonjour en fait j'ai un dossier avec vous dans le transfert de pré pote aire à vous à la banque nationale et je voudrais parler dans le fond avec quelqu'un pour pouvoir j'aimerais faire des des projets puis savoir si c'est possible de pire avec mon dossier,oui bonjour en fait j'ai un dossier avec vous dans le transfert de prêt hypothécaire à vous à la banque nationale et je voudrais parler dans le fond avec quelqu'un pour pouvoir j'aimerais faire des des projets puis savoir si c'est possible de faire avec mon dossier
9140656886170000251_NaimaF,[hésitation] oui bonjour [hésitation] en fait j'ai un dossier avec vous [mot] dans le transfert de prêt hypothécaire [hésitation] à vous à la banque nationale [agent dit oui] et je voulais parler dans le fond avec [hésitation] quelqu'un pour pour voir [hésitation] j'aimerais faire des des projets puis [hésitation] savoir si c'est possible de faire avec mon dossier,oui bonjour en fait j'ai un dossier avec vous dans le transfert de prêt hypothécaire à vous à la banque nationale je voudrais parler dans le fond avec quelqu'un pour pour voir j'aimerais faire des des projets puis savoir si c'est possible de faire avec mon dossier, oui bonjour en fait j'ai un dossier avec ou dans le transfert de pré pote à vous à la banque nationale et je voudrais parler dans le fond avec quelqu'un pour pour voir j'aimerais faire des coge puis savoir si c'est possible de faire avec mon dossier,oui bonjour en fait j'ai un dossier avec vous dans le transfert de prêt hypothécaire à vous à la banque nationale et je voudrais parler dans le fond avec quelqu'un pour pour voir j'aimerais faire des des projets puis savoir si c'est possible de faire avec mon dossier
9140657267960000251_Anne,oui moi j'ai des achats en ligne qui ont été fait effectuées sur ma carte de crédit puis je vois pas que ce soit moi qui les a fait là puis [hésitation] à moins que tu sois capable de me mentionner vraiment c'est quoi l'achat ,oui moi j'ai des achats en ligne qui a été fait effectuée sur ma carte de crédit pis je veux pas que ce soit moi qui les ai fait pis à moins que tu sois capable de mentionner vraiment c'est quoi l'achat,oui moi j'ai des achats en ligne qui a été fait effectue sur ma carte de crédit puis je vois pas ce soit moi qui les ait fait puis moi pas capable de mentionner vraiment c'est quoi l'achat,oui moi j'ai des achats en ligne qui ont été faits effectués sur ma carte de crédit puis je vois pas que ce soit moi qui les ai fait puis en moins tu sois capable de me mentionner vraiment c'est quoi l'achat?
9140657267960000251_NaimaF,oui moi j'ai des achats en ligne qui ont été fait effectuées sur ma carte de crédit puis je vois pas que ce soit moi qui les a fait là puis [hésitation] à moins que tu sois capable de me mentionner vraiment c'est quoi l'achat ,oui moi j'ai des achats en ligne qui ont été fait effectuée sur ma carte de crédit pis je veux pas que ce soit moi qui les a fait là puis à moins que tu sois capable de me mentionner vraiment c'est quoi l'achat,oui moi j'ai des achats en ligne qui ont été fait effectuer sur ma carte de crédit puis je vais voir pas que ce soit moi qui les a fait là puis à moins que tu sois capable de me mentionner vraiment c'est quoi la,oui moi j'ai des achats en ligne qui ont été faits effectuer sur ma carte de crédit puis je vois pas que ce soit moi qui les a faits là puis à moins que tu sois capable de me mentionner vraiment c'est quoi l'achat
9140665506090000251_NajatS,d'accord [hésitation] je dois pour faire ça rapidement je dois subir une intervention chirurgicale qui me coûte cinq mille dollars et c'est payable comptant j'ai bien sûr l'argent dans mon compte d'épargne mais j'ai pas accès avec ma carte débit à mon compte d'épargne puis je pense que pour mon compte [hésitation] régulier là je suis bloquée à mille dollars alors [bruit] ce que j'aimerais c'est d'avoir accès à mon compte d'épargne et aussi que je puisse aller au moins jusqu'à cinq mille dollars,d'accord je dois pour faire ce rapidement je dois subir une intervention chirurgicale qui me coûte cinq mille dollars et c'est payable comptant j'ai bien sûr l'argent dans mon compte épargne mais j'ai pas accès avec ma carte débit à mon compte d'épargne puis je pense que pour mon compte régulier là je suis bloqué à mille dollars alors ce que j'aimerais c'est d'avoir accès à mon compte d'épargne et que je puisse aller au moins jusqu'à cinq mille dollars,d'accord je dois pour faire ça rapidement je dois subir une intervention chirurgie qui nous coûte cinq mille dollars et c'est payable comptant je suis bien sûr l'argent dans mon compte mais j'ai pas accès avec ma carte débit à mon compte d'épargne puis je pense que pour mon compte régulier là je suis bloqué à mille dollars alors ce que j'aimerai c'est d'avoir accès à mon compte départ et aussi que je puisse aller au moins jusqu'à cinq mille dollars,d'accord je dois pour faire ça rapidement je dois subir une intervention chirurgicale qui me coûte cinq mille dollars c'est payable content j'ai bien sûr l'argent dans mon compte épargne mais j'ai pas accès avec ma carte de débit à mon compte d'épargne puis je pense que pour mon compte régulier là je suis bloquée à mille dollars alors ce que j'aimerais c'est d'avoir accès à mon compte d'épargne et aussi que je puisse aller au moins jusqu'à cinq mille dollars
9140665506090000251_Natalia2,d'accord [hésitation] je dois pour faire ça rapidement je dois subir une intervention chirurgicale qui me coûte cinq mille dollars et c'est payable comptant j'ai bien sûr l'argent dans mon compte d'épargne mais j'ai pas accès avec ma carte débit à mon compte d'épargne puis je pense que pour mon compte [hésitation] régulier là je suis bloquée à mille dollars alors [bruit] ce que j'aimerais c'est d'avoir accès à mon compte d'épargne et aussi que je puisse aller au moins jusqu'à cinq mille dollars,d'accord je dois pour faire ça rapidement je dois subir une intervention chirurgicale qui me coûte cinq mille dollars et c'est payable comptant j'ai bien sûr l'argent dans mon compte départ mais j'ai pas accès avec ma carte débit à mon compte départ pis je pense que pour mon compte risque lié là je suis bloqué à mille dollars alors ce que j'aimerais c'est d'avoir accès à mon compte d'épargne et aussi que je puisse aller au moins jusqu'à cinq mille dollars,d'accord je voulais pour faire ça rapidement je dois subir une information chirurgie cale il me coute sing ment dollar et c'est payable comptant j'ai bien sûr l'ajout dans mon compte de pã¢le mais j'ai pas accès avec ma carte débit à mon code dépend que je pense qui est pour mon cote il est là je suis bloqué à mille dollars alors ce que j'aimerais c'est d'avoir accès à mon compte de page et aussi que je puisse aller au moins juste que cinq mille dollars,d'accord je dois pour faire ça rapidement je dois subir une intervention chirurgicale qui m'écoute cinq mille dollars c'est payable comptant j'ai bien sûr l'argent dans mon compte d'épargne mais j'ai pas accès avec ma carte de débit à mon compte d'épargne puis je pense que pour mon compte régulier là je suis bloquée à mille dollars alors ce que j'aimerais c'est d'avoir accès à mon compte d'épargne et aussi que je puisse aller au moins jusqu'à cinq mille dollars
9140666537560000251_Anne,[hésitation] je voudrais activer la carte de crédit,je voudrais activer la carte de crédit, je voudrais activer la carte de crédit,je voudrais activer la carte de crédit
9140666537560000251_AwaS,[hésitation] je voudrais activer la carte de crédit,je voudrais activer la carte de crédit, je voudrais activer la carte de crédit,je voudrais activer la carte de crédit
9140666537560000251_NaimaF,[hésitation] je voudrais activer la carte de crédit,je voudrais activer la carte de crédit, je voudrais activer la carte de crédit,je voudrais activer la carte de crédit
9140702465330000251_Anne,parce que vous avez enlevé l'ancienne version puis moi je roulais seulement avec celle là et puis la nouvelle chuis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis ça me dit chuis connecté mais chuis pas capable de de de rien faire avec,parce que vous avez enlever l'ancienne version pis moi je roulais seulement avec celle là puis la nouvelle j'suis pas capable d'aller dessus parce que j'ai changé de courriel entre temps pis ça me dit je suis connecté mais j'suis pas capable de de de rien faire avec,parce que vous avez enlevé l'ancienne version puis moi je relais seulement avec celle là et puis la nouvelle est pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis ça me dit je suis connecté mais je suis pas capable de de de rien faire avec,parce que vous avez enlevé l'ancienne version puis moi je voulais seulement avec celle là et puis la nouvelle je suis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis samedi je suis connectée mais je suis pas capable de de rien faire avec
9140702465330000251_Charles,parce que vous avez enlevé l'ancienne version puis moi je roulais seulement avec celle là et puis la nouvelle chuis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis ça me dit chuis connecté mais chuis pas capable de de de rien faire avec,parce que vous avez enlever l'ancienne version pis moi je roulais seulement avec celle là pis là la nouvelle j'suis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis ça me dit je suis connecté mais j'suis pas capable de rien faire avec,parce que vous avez enlevé l'ancienne version puis moi je relais seulement avec celle là puis là la nouvelle je suis pas capable de le dessus parce que j'ai changé de courir entre temps et puis samedi je suis connecté je suis pas capable de de de rien faire avec,parce que vous avez enlevé l'ancienne version puis moi je voulais seulement avec celle là puis la nouvelle je suis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis samedi je suis connecté mais je suis pas capable de de rien faire avec
9140702465330000251_NajatS,parce que vous avez enlevé l'ancienne version puis moi je roulais seulement avec celle là et puis la nouvelle chuis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis ça me dit chuis connecté mais chuis pas capable de de de rien faire avec,parce que vous avez enlever l'ancienne version pis moi je roulais seulement avec celle là et puis la nouvelle j'suis pas capable d'aller dessus parce que j'ai changé de courrier entre temps pis ça me dit je suis connecté mais j'suis pas capable de rien faire avec,parce que vous avez enlevé l'ancienne version puis moi je roulait seulement avec celle là et puis la nouvelle je suis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis samedi je suis connecté mais je suis pas capable de de de rien faire avec,parce que vous avez enlevé l'ancienne version puis moi je voulais seulement avec celle là et puis la nouvelle je suis pas capable d'aller dessus parce que j'ai changé de courriel entre temps et puis samedi je suis connectée mais je suis pas capable de de de rien faire avec
9140708669540000251_AwaS,oui bonjour [hésitation] c'est parce qu'il y a un montant qui s'est déposé dans dans notre compte puis on sait pas c'est quoi,oui bonjour c'est parce qu'il y a un montant qui s'est déposé dans notre compte pis c'est pas c'est quoi,oui bonjour c'est par qui a un montant qui se déposé dans notre compte puis sait pas c'est quoi,oui bonjour c'est parce qu'il y a un montant qui s'est déposé dans notre compte puis on s'est passé quoi?
9140708669540000251_NaimaF,oui bonjour [hésitation] c'est parce qu'il y a un montant qui s'est déposé dans dans notre compte puis on sait pas c'est quoi,oui bonjour c'est parce qui a montant qui s'est déposé dans notre compte pis on sait pas c'est quoi,oui bonjour c'est parce qu'il y a un montant qui s'est déposé dans notre compte puis on sait pas c'est quoi,oui bonjour c'est parce qu'il y a mon temps qui s'est déposé dans notre compte puis on sait pas c'est quoi
9140708669540000251_NajatS,oui bonjour [hésitation] c'est parce qu'il y a un montant qui s'est déposé dans dans notre compte puis on sait pas c'est quoi,oui bonjour c'est parce qu'il y a un montant qui s'est déposé dans notre compte pis on sait pas c'est quoi,oui oui bonjour c'est parce qu'il y a un montant qui s'est déposé dans dans notre compte puis on sait passé quoi,oui bonjour c'est parce qu'il y a un montant qui s'est déposé dans dans notre compte puis on sait pas c'est quoi
9140711388420000251_Charles,non non j'appelais justement pour signaler [hésitation] parce que je viens d'oublier mon ma trousse là dans le métro,non non j'appelais justement pour signaler parce que j'ai une oublier mon ma trousse là dans le métro,ou non non j'appelais justement pour signaler parce que j'ai oublié mon ma trous là dans le métro,non j'appelais justement pour signaler parce que j'ai oublié mon ma trousse là dans le métro
9140711388420000251_NajatS,non non j'appelais justement pour signaler [hésitation] parce que je viens d'oublier mon ma trousse là dans le métro,non non j'appelais juste pour signaler parce que je viens d'oublier mon ma trousse là dans le métro,aie non non j'ai appelais juste pour signaler parce que je viens d'oublier mon au là dans le métro,non non j'appelais juste pour signaler parce que je viens d'oublier mon ma trousse là dans le métro
9140716862480000251_Anne,[hésitation] oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez m'aider,oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez m'aider, oui bonjour j'aimerais faire un retrait de mon chili par contre je sais qu'ils ont des forms usuelles donc je sais pas si vous pouvez m'aider,oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'il y a des fonds mutuelles donc je sais pas si vous pouvez m'aider
9140716862480000251_Charles,[hésitation] oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez m'aider,oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez m'aider, oui bonjour j'aimerais faire un retrait de mon cali par contre je sais qu'ils ont des fonds mutuel donc je sais pas si vous pouvez m'aider,uh oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je ne sais pas si vous pouvez m'aider
9140716862480000251_NajatS,[hésitation] oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez m'aider,oui bonjour j'aimerais faire un retrait de mon celi par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez me dit,oui bonjour j'aimerais faire un retrait de mon cédit par contre je sais qu'ils ont des fonds mutuel donc je sais pas si vous pouvez m'aider,oui bonjour j'aimerais faire un retrait de mon ci par contre je sais qu'ils ont des fonds mutuels donc je sais pas si vous pouvez m'aider
